Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Contábil - Demonstrações - Balanço Patrimonial;;;;;;;;;;;;;;
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2026;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;Balanço Patrimonial;Levantado em;Abr/26; ; ; ; ; ; ; ; ;
 ; ; ;ATIVO; ;R$;R$; ; ; ; ; ; ; ;
 ; ; ; ; ;Abr/26;Mar/26; ; ; ; ; ; ; ;
 ; ; ;CIRCULANTE; ;20.328.516,21;19.290.029,51; ;I - ÍNDICES ESTRUT.CAPITAIS; ;Abr/26;Mar/26; ; ;
 ; ; ;DISPONIBILIDADES; ;1.960.255,55;1.486.307,81; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;.   Caixa e Bancos; ;1.960.255,55;1.486.307,81; ;1 - GRAU DE ENDIVIDAMENTO;(PC+PNC)/AT;0,58;0,56;QUANTO MENOR MELHOR; ;
 ; ; ;CRÉDITOS; ;9.806.659,25;9.471.000,17; ;2 - SOLVÊNCIA GERAL;AT/(PC+PNC);1,63;1,78;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Contas a receber; ;7.680.762,19;7.412.831,95; ;3 - COMPOSIÇÃO DO ENDIVIDAMENTO;PC/(PC+PNC);1,00;1,00;QUANTO MENOR MELHOR; ;
 ; ; ;.   Adiantamento a Fornecedores; ;0,00;0,00; ;4 - GARANTIA DE CAPITAL DE TERCEIROS;PL/(PC+PNC);0,72;0,78;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Tributos a Recuperar; ;331.592,60;331.144,28; ;5 - IMOBILIZAÇÃO DE CAPITAL PRÓPRIO;AP/PL;0,78;0,75;QUANTO MENOR MELHOR; ;
 ; ; ;.   Aplicações Financeiras; ;0,00;0,00; ;6 - GRAU DE PERMANÊNCIA DO ATIVO;AP/AT;0,33;0,33;QUANTO MENOR MELHOR; ;
 ; ; ;.   Outros Créditos; ;1.794.304,46;1.727.023,94; ;I - ÍNDICES DE LIQUIDEZ; ;Abr/26;Mar/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;ESTOQUES; ;8.561.601,41;8.332.721,53; ;1 - LIQUIDEZ GERAL;(AC+ARLP)/(PC+PRLP);1,16;1,20;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;2 - LIQUIDEZ IMEDIATA;DISP/PC;0,11;0,09;QUANTO MAIOR MELHOR; ;
 ; ; ;DESPESAS DO EXERCÍCIO SEGUINTE; ;0,00;0,00; ;3 - LIQUIDEZ SECA;AC-EST/PC;0,67;0,68;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Seguros a apropriar; ;0,00;0,00; ;4 - LIQUIDEZ CORRENTE;AC/PC;1,15;1,19;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Impostos e Taxas; ;0,00;0,00; ;I - ÍNDICES DE RENTABILIDADE E PROD.; ;Abr/26;Mar/26; ; ;
 ; ; ; ; ; ; ; ;ÍNDICES;FÓRMULAS;Per.1;Per.2;INTERPRETAÇÃO; ;
 ; ; ;NÃO CIRCULANTE; ;9.960.467,66;9.464.452,38; ;1 - MARGEM OPERACIONAL;LOL/VL;4,16;4,49;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Depósitos Judiciais; ;71.659,28;71.659,28; ;2 - MARGEM BRUTA;LB/VL;26,48;27,24;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Investimentos; ;17.786,66;17.686,66; ;3 - MARGEM GERAL OU MARGEM LÍQUIDA;LLE/VL;4,16;4,49;QUANTO MAIOR MELHOR; ;
 ; ; ;.   Imobilizado; ;9.871.021,72;9.375.106,44; ;4 - GIRO OPERACIONAL;VL/(AOP1+AOP2/2);0,68;0,67;QUANTO MAIOR MELHOR; ;
 ; ; ; ; ; ; ; ;5 - GIRO GERAL O GIRO DO ATIVO;VL/(AT1+AT2/2);0,47;0,45;QUANTO MAIOR MELHOR; ;
