Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mai/25; ;Abr/26; ;Mai/26; ; ; ;Mai/26; ;Mai/26;;Mai/26; ;
 ;RECEITA BRUTA OPERACIONAL;14.830.852,25; ;15.038.705,79; ;15.029.423,89; ;-9.281,90;-0,1%;15.029.423,89; ;424.749,56;0,0003;15.454.173,45; ;
 ;ABATIMENTOS SOBRE VENDAS;178.254,21; ;381.036,62; ;336.192,31; ;-44.844,31;-11,77;336.192,31; ;0,00;;336.192,31; ;
 ;RECEITA BRUTA EFETIVA (Produtos);14.652.598,04; ;14.657.669,17; ;14.693.231,58; ;35.562,41;0,2%;14.693.231,58; ; ;;14.693.231,58; ;
 ;RECEITA DE SERVIÇOS;0,00; ;0,00; ;0,00; ; ; ;0,00; ;424.749,56;; ; ;
 ;IMPOSTOS SOBRE VENDAS;890.262,75;6,49%;850.825,36;6,18%;891.876,34;6,49%;41.050,98;4,82;891.876,34; ;15.503,36;;907.379,70; ;
 ;DEVOLUÇÕES DE VENDA;47.648,33; ;32.688,78; ;62.511,40; ; ; ; ; ; ;;62.511,40; ;
 ;RECEITA OPERACIONAL LIQUIDA;13.714.686,96;100,00%;13.774.155,03;100%;13.738.843,84;100%;-35.311,19;-0,3%;13.738.843,84;100%;409.246,20;1;13.723.340,48;100%;
 ;CMV TOTAL;-9.960.305,53;-72,63%;-10.129.444,00;-73,54%;-9.930.138,85;-72,28%;199.305,16;-2,0%;-9.930.138,85;-72,28%;0,00;0;-9.930.138,85;-72,36%;
 ;( - ) Custo Merc Vendidas - Produtos;9.636.599,60;70,26%;9.889.275,18;71,80%;9.667.686,18;70,37%;-221.589,00;-2,2%;9.667.686,18;70,37%;0,00;0;9.667.686,18;70,45%;
 ;CMV Devolução de Vendas;37.693,79;0,27%;21.984,92;0,16%;46.433,20;0,34%;24.448,28;111,20;46.433,20;0,34%;0,00;0;46.433,20;0,34%;
 ;MARGEM DE VENDA;3.754.381,43;27,37%;3.644.711,03;26,46%;3.808.704,99;27,72%;163.993,96;4,5%;3.808.704,99;27,72%;409.246,20;1,0379;3.793.201,64;27,64%;
 ;DESPESAS VARIAVEIS;652.152,31;4,76%;611.046,27;4,44%;602.955,15;4,39%;-8.091,12;-1,3%;602.955,15;4,39%;0,00;0;602.955,15;4,39%;
 ;( - ) Despesas c/ vendas;169.027,10;1,23%;118.920,44;0,86%;120.759,30;0,88%;1.838,86;1,5%;120.759,30;0,88%;0,00;0;120.759,30;0,88%;
 ;( - ) Despesas c/ vendas - Financeiras;140.258,04;1,02%;147.771,95;1,07%;138.724,75;1,01%;-9.047,20;-6,1%;138.724,75;0,00;0,00;0;138.724,75;1,01%;
 ;( - ) Perdas de Mercadorias;126.004,04;0,92%;133.527,63;0,97%;159.315,50;1,16%;-882,78;19,31%;159.315,50;1,16%;0,00;0;159.315,50;1,16%;
 ;( - ) Falta de Mercadorias;325.567,52;2,37%;517.216,87;3,75%;712.618,32;5,19%;195.401,45;37,78%;712.618,32;5,19%;0,00;0;712.618,32;5,19%;
